"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Martina Topley Bird","Lily","F","34","Koch","177.08363","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Poison","15"
"Ben Jelen","Lily","F","35","Koch","226.55955","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Come On (Album Version)","15"
"Florence + The Machine","Theodore","M","0","Smith","131.3171","free","Houston-The Woodlands-Sugar Land, TX","796","Kiss With A Fist","52"
"3 Doors Down","Lily","F","36","Koch","237.13914","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Here Without You","15"
"Jackson Browne","Lily","F","37","Koch","367.35955","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Sky Blue And Black (LP Version)","15"
"Mudhoney","Aleena","F","10","Kirby","231.57506","paid","Waterloo-Cedar Falls, IA","637","Get Into Yours","44"
"Carpenters","Aleena","F","11","Kirby","238.39302","paid","Waterloo-Cedar Falls, IA","637","Yesterday Once More","44"
"Kings Of Leon","Aleena","F","13","Kirby","185.28608","paid","Waterloo-Cedar Falls, IA","637","Taper Jean Girl","44"
"The Bloody Beetroots","Aleena","F","14","Kirby","201.97832","paid","Waterloo-Cedar Falls, IA","637","Warp 1.9 (feat. Steve Aoki)","44"
"Kings Of Leon","Aleena","F","15","Kirby","201.79546","paid","Waterloo-Cedar Falls, IA","637","Revelry","44"
"Euge Groove","Aleena","F","16","Kirby","265.482","paid","Waterloo-Cedar Falls, IA","637","Tenderly","44"
"Soltero","Aleena","F","17","Kirby","249.0771","paid","Waterloo-Cedar Falls, IA","637","Bleeding Hearts","44"
"Nirvana","Aleena","F","18","Kirby","257.01832","paid","Waterloo-Cedar Falls, IA","637","Lithium","44"
"Alliance Ethnik","Cecilia","F","0","Owens","252.21179","free","Atlanta-Sandy Springs-Roswell, GA","535","ReprÃÂ©sente","6"
"Lykke Li","Cecilia","F","1","Owens","232.35873","free","Atlanta-Sandy Springs-Roswell, GA","535","Melodies & Desires","6"
"The Coffee Club Orchestra","Ryan","M","1","Smith","386.76853","free","San Jose-Sunnyvale-Santa Clara, CA","622","Overture","26"
"Harmonia","Ryan","M","2","Smith","655.77751","free","San Jose-Sunnyvale-Santa Clara, CA","622","Sehr kosmisch","26"
"Alicia Keys","Mohammad","M","2","Rodriguez","182.07302","free","Sacramento--Roseville--Arden-Arcade, CA","614","Caged Bird","88"
"Crosby_ Stills & Nash","Mohammad","M","3","Rodriguez","329.19465","free","Sacramento--Roseville--Arden-Arcade, CA","614","Wooden Ships (LP Version)","88"
"R.E.M.","Ryan","M","3","Smith","241.162","free","San Jose-Sunnyvale-Santa Clara, CA","622","What's The Frequency_ Kenneth? (Radio Version)","26"
"Eric Clapton","Chloe","F","6","Cuevas","323.49995","paid","San Francisco-Oakland-Hayward, CA","636","My Father's Eyes","49"
"Godley & Creme","Chloe","F","7","Cuevas","237.81832","paid","San Francisco-Oakland-Hayward, CA","636","Cry","49"
"Ron Carter","Chloe","F","8","Cuevas","497.13587","paid","San Francisco-Oakland-Hayward, CA","636","I CAN'T GET STARTED","49"
"Timbaland / Keri Hilson / D.O.E.","Tegan","F","0","Levine","179.25179","paid","Portland-South Portland, ME","620","The Way I Are","80"
"Everything But The Girl","Chloe","F","9","Cuevas","295.73179","paid","San Francisco-Oakland-Hayward, CA","636","Missing","49"
"Big Mountain","Tegan","F","1","Levine","249.52118","paid","Portland-South Portland, ME","620","Baby_ I Love Your Way (Album Version)","80"
"Gotan Project","Chloe","F","10","Cuevas","315.81995","paid","San Francisco-Oakland-Hayward, CA","636","Queremos Paz","49"
"Washed Out","Tegan","F","2","Levine","173.40036","paid","Portland-South Portland, ME","620","Belong","80"
"OutKast","Tegan","F","3","Levine","312.13669","paid","Portland-South Portland, ME","620","My Favorite Things","80"
"Black Sabbath","Chloe","F","11","Cuevas","388.64934","paid","San Francisco-Oakland-Hayward, CA","636","Symptom Of The Universe","49"
"Late Night Alumni","Tegan","F","4","Levine","226.76853","paid","Portland-South Portland, ME","620","Uncharted","80"
"Slightly Stoopid","Chloe","F","12","Cuevas","293.82485","paid","San Francisco-Oakland-Hayward, CA","636","This Joint","49"
"Beastie Boys","Tegan","F","5","Levine","211.722","paid","Portland-South Portland, ME","620","Unite (2009 Digital Remaster)","80"
"The Killers","Tegan","F","6","Levine","222.95465","paid","Portland-South Portland, ME","620","Who Let You Go?","80"
"Riverside","Chloe","F","13","Cuevas","236.2771","paid","San Francisco-Oakland-Hayward, CA","636","Stuck Between","49"
"Flobots","Tegan","F","7","Levine","246.07302","paid","Portland-South Portland, ME","620","Good Soldier","80"
"Lighthouse Family","Chloe","F","14","Cuevas","307.53914","paid","San Francisco-Oakland-Hayward, CA","636","High","49"
"Jack Johnson","Tegan","F","8","Levine","144.06485","paid","Portland-South Portland, ME","620","Do You Remember","80"
"Incubus","Chloe","F","15","Cuevas","229.22404","paid","San Francisco-Oakland-Hayward, CA","636","Pardon Me","49"
"Edwyn Collins","Tegan","F","9","Levine","235.91138","paid","Portland-South Portland, ME","620","A Girl Like You","80"
"Joshua Radin","Chloe","F","16","Cuevas","182.62159","paid","San Francisco-Oakland-Hayward, CA","636","The Fear You Won't Fall","49"
"Bon Iver","Chloe","F","17","Cuevas","116.89751","paid","San Francisco-Oakland-Hayward, CA","636","Team","49"
"Nipsey Hussle","Chloe","F","18","Cuevas","170.34404","paid","San Francisco-Oakland-Hayward, CA","636","Its Hard Out Here","49"
"Bebo & Cigala","Tegan","F","11","Levine","331.15383","paid","Portland-South Portland, ME","620","Lagrimas Negras","80"
"Kings Of Leon","Tegan","F","12","Levine","201.79546","paid","Portland-South Portland, ME","620","Revelry","80"
"Amy Winehouse","Tegan","F","13","Levine","223.9473","paid","Portland-South Portland, ME","620","Love Is A Losing Game","80"
"Florence + The Machine","Tegan","F","14","Levine","219.66322","paid","Portland-South Portland, ME","620","Dog Days Are Over (Radio Edit)","80"
"Devin Townsend","Tegan","F","15","Levine","552.98567","paid","Portland-South Portland, ME","620","Tiny Tears","80"
"Camera Obscura","Tegan","F","16","Levine","244.81914","paid","Portland-South Portland, ME","620","Number One Song","80"
"Keyshia Cole","Tegan","F","17","Levine","95.26812","paid","Portland-South Portland, ME","620","Same Thing","80"
"Red Hot Chili Peppers","Tegan","F","18","Levine","247.66649","paid","Portland-South Portland, ME","620","Tell Me Baby (Album Version)","80"
"Florence + The Machine","Chloe","F","20","Cuevas","219.66322","paid","San Francisco-Oakland-Hayward, CA","636","Dog Days Are Over (Radio Edit)","49"
"Lit","Chloe","F","21","Cuevas","169.03791","paid","San Francisco-Oakland-Hayward, CA","636","My Own Worst Enemy","49"
"Avenged Sevenfold","Tegan","F","19","Levine","393.50812","paid","Portland-South Portland, ME","620","Dear God (Album Version)","80"
"Harmonia","Chloe","F","22","Cuevas","655.77751","paid","San Francisco-Oakland-Hayward, CA","636","Sehr kosmisch","49"
"Blue October","Tegan","F","20","Levine","241.162","paid","Portland-South Portland, ME","620","Calling You","80"
"Bone Thugs-N-Harmony / Akon","Tegan","F","21","Levine","287.52934","paid","Portland-South Portland, ME","620","I Tried","80"
"Training For Utopia","Chloe","F","23","Cuevas","222.37995","paid","San Francisco-Oakland-Hayward, CA","636","Two Hands","49"
"Delerium","Tegan","F","22","Levine","455.8624","paid","Portland-South Portland, ME","620","Drama","80"
"The Meters","Chloe","F","24","Cuevas","156.21179","paid","San Francisco-Oakland-Hayward, CA","636","Do The Dirt (Album Version)","49"
"Harmonia","Chloe","F","25","Cuevas","655.77751","paid","San Francisco-Oakland-Hayward, CA","636","Sehr kosmisch","49"
"Macy Gray","Tegan","F","23","Levine","233.89995","paid","Portland-South Portland, ME","620","Slowly","80"
"Alice In Chains","Tegan","F","24","Levine","230.60853","paid","Portland-South Portland, ME","620","God Smack","80"
"Dungeon Elite","Lily","F","0","Burns","169.82159","free","New York-Newark-Jersey City, NY-NJ-PA","625","Give It Up For Me You Us!","32"
"Angels Of Light & Akron/Family","Tegan","F","25","Levine","216.60689","paid","Portland-South Portland, ME","620","Oceanside","80"
"Krisiun","Lily","F","1","Burns","167.91465","free","New York-Newark-Jersey City, NY-NJ-PA","625","In League With Satan","32"
"Band Of Horses","Tegan","F","26","Levine","275.51302","paid","Portland-South Portland, ME","620","Cigarettes_ Wedding Bands (Album)","80"
"The Notorious B.I.G.","Lily","F","2","Burns","238.78485","free","New York-Newark-Jersey City, NY-NJ-PA","625","The What","32"
"Foolish Things","Tegan","F","27","Levine","266.86649","paid","Portland-South Portland, ME","620","Who Can Compare","80"
"The Strokes","Tegan","F","28","Levine","278.64771","paid","Portland-South Portland, ME","620","On The Other Side","80"
"Chick Corea & Hiromi","Jayden","M","0","Fox","465.05751","free","New Orleans-Metairie, LA","604","Windows","101"
"Linkin Park","Tegan","F","29","Levine","494.99383","paid","Portland-South Portland, ME","620","Bleed It Out [Live At Milton Keynes]","80"
"DJ Shadow","Jayden","M","1","Fox","89.28608","free","New Orleans-Metairie, LA","604","Transmission 2","101"
"Fleet Foxes","Tegan","F","30","Levine","147.04281","paid","Portland-South Portland, ME","620","White Winter Hymnal","80"
"Jonas Brothers","Jayden","M","2","Fox","201.27302","free","New Orleans-Metairie, LA","604","Games","101"
"Guns N' Roses","Tegan","F","31","Levine","464.92689","paid","Portland-South Portland, ME","620","Civil War","80"
"!!!","Tegan","F","32","Levine","486.81751","paid","Portland-South Portland, ME","620","Bend Over Beethoven","80"
"Spice Girls","Tegan","F","33","Levine","239.82975","paid","Portland-South Portland, ME","620","Who Do You Think You Are","80"
"Los LÃÂ¡tigos","Tegan","F","34","Levine","263.8624","paid","Portland-South Portland, ME","620","Luces Sensacional","80"
"Willie Colon/Hector Lavoe","Tegan","F","35","Levine","368.77016","paid","Portland-South Portland, ME","620","Triste Y Vacia","80"
"Mike Jones","Stefany","F","0","White","240.90077","free","Lubbock, TX","533","Mr. Jones (Explicit Version)","83"
"Place Vendome","Tegan","F","36","Levine","239.04608","paid","Portland-South Portland, ME","620","Place Vendome","80"
"Camera Obscura","Tegan","F","37","Levine","189.3873","paid","Portland-South Portland, ME","620","Alaska","80"
"Cage The Elephant","Tegan","F","38","Levine","175.12444","paid","Portland-South Portland, ME","620","Ain't No Rest For The Wicked (Original Version)","80"
"Foo Fighters","Tegan","F","39","Levine","271.38567","paid","Portland-South Portland, ME","620","The Pretender","80"
"The Notting Hillbillies","Tegan","F","40","Levine","156.47302","paid","Portland-South Portland, ME","620","Bewildered","80"
"Muse","Tegan","F","41","Levine","209.50159","paid","Portland-South Portland, ME","620","Supermassive Black Hole (Twilight Soundtrack Version)","80"
"Owl City","Tegan","F","42","Levine","230.81751","paid","Portland-South Portland, ME","620","Umbrella Beach","80"
"Ray Barretto","Tegan","F","43","Levine","496.63955","paid","Portland-South Portland, ME","620","Canto Abacua","80"
"The Fray","Tegan","F","44","Levine","235.93751","paid","Portland-South Portland, ME","620","Over My Head (Cable Car)","80"
"Rokia TraorÃÂ©","Tegan","F","45","Levine","53.86404","paid","Portland-South Portland, ME","620","SonoritÃÂ©s","80"
"Les MisÃÂ©rables - 10th Anniversary Concert","Tegan","F","46","Levine","195.3171","paid","Portland-South Portland, ME","620","Castle On A Cloud","80"
"Usher","Tegan","F","47","Levine","216.24118","paid","Portland-South Portland, ME","620","Making Love (Into The Night)","80"
"3 Doors Down","Tegan","F","48","Levine","233.74322","paid","Portland-South Portland, ME","620","Kryptonite","80"
"The Pussycat Dolls","Tegan","F","49","Levine","245.18485","paid","Portland-South Portland, ME","620","When I Grow Up","80"
"Ryan Adams & The Cardinals","Tegan","F","50","Levine","275.22567","paid","Portland-South Portland, ME","620","Dear John","80"
"Michael BublÃÂ©","Tegan","F","51","Levine","225.90649","paid","Portland-South Portland, ME","620","Home (Album Version)","80"
"Denison Witmer","Tegan","F","52","Levine","223.18975","paid","Portland-South Portland, ME","620","Forgiven","80"
"Matt Pond PA","Tegan","F","53","Levine","245.96853","paid","Portland-South Portland, ME","620","If You Want Blood","80"
"Twista featuring Pharrell Williams","Tegan","F","54","Levine","211.59138","paid","Portland-South Portland, ME","620","Give It Up (feat. Pharrell Williams) (Amended Album Version)","80"
"Frankie Avalon","Tegan","F","55","Levine","186.20036","paid","Portland-South Portland, ME","620","You Are Mine","80"
"Frumpies","Kinsley","F","1","Young","134.47791","paid","Red Bluff, CA","436","Fuck Kitty","85"
"Cyberfit","Tegan","F","57","Levine","303.15057","paid","Portland-South Portland, ME","620","Pojo Pojo","80"
"Sheena Easton","Kinsley","F","2","Young","185.67791","paid","Red Bluff, CA","436","For Your Eyes Only","85"
"Arctic Monkeys","Kinsley","F","3","Young","173.66159","paid","Red Bluff, CA","436","Still Take You Home","85"
"Bob Dylan","Tegan","F","58","Levine","368.92689","paid","Portland-South Portland, ME","620","Like A Rolling Stone","80"
"Justin Timberlake","Kinsley","F","4","Young","284.05506","paid","Red Bluff, CA","436","Let's Take A Ride","85"
"Shinedown","Tegan","F","59","Levine","228.5971","paid","Portland-South Portland, ME","620","Begin Again (Album Version)","80"
"Coldplay","Kinsley","F","5","Young","307.51302","paid","Red Bluff, CA","436","Clocks","85"
"Kat DeLuna","Kinsley","F","6","Young","239.43791","paid","Red Bluff, CA","436","Como Un SueÃÂ±o (Am I Dreaming)","85"
"Todd Rundgren","Kinsley","F","7","Young","212.29669","paid","Red Bluff, CA","436","Lord Chancellor's Nightmare Song","85"
"Eminem / Dr. Dre / 50 Cent","Kinsley","F","8","Young","297.56036","paid","Red Bluff, CA","436","Crack A Bottle","85"
"La Roux","Kinsley","F","9","Young","205.60934","paid","Red Bluff, CA","436","Bulletproof","85"
"Aerosmith","Kinsley","F","10","Young","235.36281","paid","Red Bluff, CA","436","Pink","85"
"Colleen","Kinsley","F","11","Young","166.5824","paid","Red Bluff, CA","436","Your Heart On Your Sleeve","85"
"Nickelback","Kinsley","F","12","Young","222.82404","paid","Red Bluff, CA","436","Should've Listened (Album Version)","85"
"Daft Punk","Anabelle","F","0","Simpson","396.82567","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","465","Da Funk / Dadftendirekt","69"
"Alliance Ethnik","Kinsley","F","14","Young","195.94404","paid","Red Bluff, CA","436","SinceritÃÂ© Et Jalousie","85"
"Beirut","Kinsley","F","15","Young","178.72934","paid","Red Bluff, CA","436","St. Apollonia","85"
"Live","Kinsley","F","16","Young","183.69261","paid","Red Bluff, CA","436","I Walk The Line","85"
"Greg Giraldo","Kinsley","F","17","Young","243.722","paid","Red Bluff, CA","436","Monkeypox / Osama / Bird Flu (Good Day To Cross A River)","85"
"Hercules And Love Affair","Kinsley","F","18","Young","471.74485","paid","Red Bluff, CA","436","Blind (Frankie Knuckles Remix)","85"
"Junction 18","Kinsley","F","19","Young","189.28281","paid","Red Bluff, CA","436","Lost In Adeline","85"
"Plain White T S","Ava","F","1","Robinson","179.59138","free","New Haven-Milford, CT","623","Anything","50"
"A Day To Remember","Kinsley","F","20","Young","269.00853","paid","Red Bluff, CA","436","You Had Me At Hello","85"
"K. Sparks featuring Dave Barz","Ava","F","2","Robinson","186.69669","free","New Haven-Milford, CT","623","My Block","50"
"Aretha Franklin","Ava","F","3","Robinson","217.39057","free","New Haven-Milford, CT","623","You're All I Need To Get By","50"
"Muse","Kinsley","F","22","Young","304.84853","paid","Red Bluff, CA","436","Uprising","85"
"The Wallflowers","Ava","F","4","Robinson","312.63302","free","New Haven-Milford, CT","623","One Headlight","50"
"OneRepublic","Kinsley","F","23","Young","237.97506","paid","Red Bluff, CA","436","All The Right Moves","85"
"Van Halen","Kinsley","F","24","Young","209.29261","paid","Red Bluff, CA","436","Panama (Remastered Album Version)","85"
"Rihanna / will.i.am","Kinsley","F","25","Young","286.32771","paid","Red Bluff, CA","436","Photographs","85"
"Florence + The Machine","Kinsley","F","26","Young","219.66322","paid","Red Bluff, CA","436","Dog Days Are Over (Radio Edit)","85"
"M83","Kinsley","F","27","Young","391.54893","paid","Red Bluff, CA","436","Carresses","85"
"Danilo Montero","Kinsley","F","28","Young","233.482","paid","Red Bluff, CA","436","El es el Rey","85"
"The Who","Kinsley","F","29","Young","341.78567","paid","Red Bluff, CA","436","Eminence Front","85"
"Ruben Gonzalez","Kinsley","F","30","Young","150.41261","paid","Red Bluff, CA","436","Nuestra Cancion","85"
"Psychic Ills","Samuel","M","0","Gonzalez","512.96608","free","Houston-The Woodlands-Sugar Land, TX","610","I Knew My Name","61"
"Lighthouse Family","Kinsley","F","31","Young","271.93424","paid","Red Bluff, CA","436","Lifted","85"
"The Ordinary Boys","Kinsley","F","32","Young","162.87302","paid","Red Bluff, CA","436","Boys Will Be Boys","85"
"Phil Phillips","Kinsley","F","33","Young","142.31465","paid","Red Bluff, CA","436","Sea Of Love","85"
"Miike Snow","Kinsley","F","34","Young","263.88853","paid","Red Bluff, CA","436","Animal","85"
"Booka Shade","Magdalene","F","1","Herman","142.10567","free","Dallas-Fort Worth-Arlington, TX","244","No Difference","77"
"Arma Blanca","Kinsley","F","35","Young","359.8624","paid","Red Bluff, CA","436","R-Evolucion (con La Odysea y Nach) (La Mision)","85"
"Santana","Ryan","M","0","Smith","290.71628","free","San Jose-Sunnyvale-Santa Clara, CA","644","Daughter Of The Night","26"
"Kirk Franklin & The Family","Kaylee","F","0","Summers","209.37098","free","Phoenix-Mesa-Scottsdale, AZ","532","Blessing In The Storm","8"
"Be Bop Deluxe","Kaylee","F","1","Summers","314.5922","free","Phoenix-Mesa-Scottsdale, AZ","532","Axe Victim","8"
"Geri Halliwell","Kinsley","F","36","Young","224.91383","paid","Red Bluff, CA","436","Bag It Up","85"
"Scissor Sisters","Kinsley","F","37","Young","156.94322","paid","Red Bluff, CA","436","Intermission","85"
"Paramore","Kaylee","F","2","Summers","262.71302","free","Phoenix-Mesa-Scottsdale, AZ","532","Brick By Boring Brick [Acoustic Version]","8"
"Rufus Wainwright","Ryan","M","1","Smith","254.17098","free","San Jose-Sunnyvale-Santa Clara, CA","657","Waiting For A Dream","26"
"Joy Division","Jayden","F","0","Duffy","233.16853","free","Seattle-Tacoma-Bellevue, WA","640","Shadowplay","76"
"Arch Enemy","Jayden","F","1","Duffy","242.70322","free","Seattle-Tacoma-Bellevue, WA","640","Symphony Of Destruction","76"
"Johnny Cash with The Carter Family The Statler Brothers & Carl Perkins","Kaylee","F","3","Summers","308.34893","free","Phoenix-Mesa-Scottsdale, AZ","532","Closing Medley: Folsom Prison Blues/I Walk The Line/Ring Of Fire/The Rebel - Johnny Yuma","8"
"Fischer-Z","Jayden","F","3","Duffy","302.78485","free","Seattle-Tacoma-Bellevue, WA","640","So Long","76"
"Vampire Weekend","Ryan","M","0","Smith","243.04281","free","San Jose-Sunnyvale-Santa Clara, CA","660","The Kids Dont Stand A Chance (Album)","26"
"OneRepublic","Ryan","M","1","Smith","224.67873","free","San Jose-Sunnyvale-Santa Clara, CA","660","Secrets","26"
"Mariah Carey","Ryan","M","2","Smith","261.82485","free","San Jose-Sunnyvale-Santa Clara, CA","660","Bye Bye","26"
"Thyrfing","Jayden","M","0","Fox","178.6771","free","New Orleans-Metairie, LA","647","Vargavinter","101"
"Avril Lavigne","Jayden","M","1","Fox","215.562","free","New Orleans-Metairie, LA","647","Alice","101"
"Nirvana","Jayden","M","2","Fox","186.48771","free","New Orleans-Metairie, LA","647","Breed","101"
"Soundgarden","Aiden","M","0","Hess","290.11546","free","La Crosse-Onalaska, WI-MN","642","Burden In My Hand","86"
"Angels and Airwaves","Jayden","M","4","Fox","302.05342","free","New Orleans-Metairie, LA","647","The Gift","101"
"Pedro Aznar","Aiden","M","1","Hess","185.99138","free","La Crosse-Onalaska, WI-MN","642","A Primera Vista","86"
"Something Happens","Jayden","M","5","Fox","175.67302","free","New Orleans-Metairie, LA","647","Inviral Love","101"
"Kate Ryan","Ava","F","0","Robinson","209.60608","free","New Haven-Milford, CT","653","La Promesse (Radio Version)","50"
"Paramore","Matthew","M","0","Jones","198.21669","paid","Janesville-Beloit, WI","461","Let The Flames Begin (Album Version)","36"
"The RH Factor","Matthew","M","1","Jones","143.25506","paid","Janesville-Beloit, WI","461","Crazy Race","36"
"Thousand Foot Krutch","Andrea","F","0","Butler","58.87955","free","Pensacola-Ferry Pass-Brent, FL","148","The Invitation","90"
"Fey","Matthew","M","2","Jones","267.51955","paid","Janesville-Beloit, WI","461","Aire","36"
"Drowning Pool","Matthew","M","3","Jones","201.63873","paid","Janesville-Beloit, WI","461","Bodies","36"
"The Postal Service","Matthew","M","4","Jones","266.47465","paid","Janesville-Beloit, WI","461","Such Great Heights","36"
"Beastie Boys","Matthew","M","5","Jones","211.722","paid","Janesville-Beloit, WI","461","Unite (2009 Digital Remaster)","36"
"Jamie Cullum","Kate","F","0","Harrell","236.79955","paid","Lansing-East Lansing, MI","633","Love Ain't Gonna Let You Down","97"
"Ours","Matthew","M","6","Jones","240.03873","paid","Janesville-Beloit, WI","461","Fallen Souls","36"
"Justin Bieber","Kate","F","1","Harrell","214.67383","paid","Lansing-East Lansing, MI","633","One Time","97"
"Kings Of Leon","Matthew","M","7","Jones","196.72771","paid","Janesville-Beloit, WI","461","Pistol Of Fire","36"
"Absu","Kate","F","2","Harrell","57.15546","paid","Lansing-East Lansing, MI","633","Twix Yesterday_ the Day & the Morrow","97"
"Bon Iver","Kate","F","3","Harrell","329.24689","paid","Lansing-East Lansing, MI","633","Blindsided","97"
"O'Death","Kate","F","4","Harrell","130.95138","paid","Lansing-East Lansing, MI","633","Gas Can Row","97"
"Enya","Kate","F","5","Harrell","227.39546","paid","Lansing-East Lansing, MI","633","Wild Child","97"
"Radiohead","Matthew","M","9","Jones","298.13506","paid","Janesville-Beloit, WI","461","Let Down","36"
"Julie London","Kate","F","6","Harrell","165.58975","paid","Lansing-East Lansing, MI","633","Get Set For The Blues","97"
"Mindy Smith","Matthew","M","10","Jones","257.17506","paid","Janesville-Beloit, WI","461","Jolene (Bonus Track)","36"
"Rogue Wave","Kate","F","7","Harrell","395.88526","paid","Lansing-East Lansing, MI","633","Harmonium","97"
"zebrahead","Matthew","M","11","Jones","229.77261","paid","Janesville-Beloit, WI","461","Wake Me Up","36"
"Faudel","Kate","F","8","Harrell","224.57424","paid","Lansing-East Lansing, MI","633","Mon Pays","97"
"St. Vincent","Matthew","M","12","Jones","324.10077","paid","Janesville-Beloit, WI","461","Just The Same But Brand New","36"
"Frankie Valli","Kate","F","9","Harrell","201.87383","paid","Lansing-East Lansing, MI","633","Grease (LP Version)","97"
"The Housemartins","Matthew","M","13","Jones","124.05506","paid","Janesville-Beloit, WI","461","He Ain't Heavy_ He's My Brother","36"
"RÃÂ¶yksopp","Kate","F","10","Harrell","300.14649","paid","Lansing-East Lansing, MI","633","What Else Is There?","97"
"Eagles","Ava","F","0","Robinson","181.86404","free","New Haven-Milford, CT","667","Earlybird (LP Version)","50"
"David Arkenstone","Matthew","M","14","Jones","363.41506","paid","Janesville-Beloit, WI","461","Waterfall (Spirit Of The Rainforest Album Version)","36"
"Metric","Kate","F","11","Harrell","286.24934","paid","Lansing-East Lansing, MI","633","Help I'm Alive","97"
"BMX Bandits","Matthew","M","15","Jones","161.27955","paid","Janesville-Beloit, WI","461","Mailbox","36"
"Hot Chip","Kate","F","12","Harrell","240.37832","paid","Lansing-East Lansing, MI","633","Beach Party","97"
"Justice","Kate","F","13","Harrell","285.41342","paid","Lansing-East Lansing, MI","633","Phantom Part 1.5 (Album Version)","97"
"The Pussycat Dolls","Kate","F","14","Harrell","197.90322","paid","Lansing-East Lansing, MI","633","I'm Done","97"
"N.E.R.D.","Kate","F","15","Harrell","259.23873","paid","Lansing-East Lansing, MI","633","Rock Star","97"
"Eminem","Matthew","M","18","Jones","261.72036","paid","Janesville-Beloit, WI","461","Evil Deeds","36"
"Guns N' Roses","Kate","F","16","Harrell","455.52281","paid","Lansing-East Lansing, MI","633","Sympathy For The Devil","97"
"Leon Jackson","Matthew","M","19","Jones","252.23791","paid","Janesville-Beloit, WI","461","When You Believe","36"
"Drowning Pool","Matthew","M","20","Jones","219.79383","paid","Janesville-Beloit, WI","461","Hate","36"
"Michael BublÃÂ©","Kate","F","17","Harrell","194.55955","paid","Lansing-East Lansing, MI","633","Can't Buy Me Love (Album Version)","97"
"Kings Of Leon","Matthew","M","22","Jones","201.79546","paid","Janesville-Beloit, WI","461","Revelry","36"
"Theory Of A Deadman","Kate","F","18","Harrell","184.89424","paid","Lansing-East Lansing, MI","633","Say Goodbye (Album Version)","97"
"Dashboard Confessional","Kate","F","21","Harrell","147.30404","paid","Lansing-East Lansing, MI","633","The Good Fight","97"
"Future Rock","Matthew","M","24","Jones","239.90812","paid","Janesville-Beloit, WI","461","Gears","36"
"The Cinematic Orchestra feat. Lou Rhodes","Kate","F","22","Harrell","306.20689","paid","Lansing-East Lansing, MI","633","Music Box","97"
"The Police","Matthew","M","25","Jones","300.14649","paid","Janesville-Beloit, WI","461","Walking On The Moon","36"
"Black Eyed Peas","Kate","F","23","Harrell","214.93506","paid","Lansing-East Lansing, MI","633","Pump It","97"
"The Mars Volta","Matthew","M","26","Jones","1001.74322","paid","Janesville-Beloit, WI","461","Tetragrammaton","36"
"Crayons","Ryan","M","1","Smith","462.07955","free","San Jose-Sunnyvale-Santa Clara, CA","663","There You Go","26"
"Dear Nora","Kate","F","24","Harrell","59.66322","paid","Lansing-East Lansing, MI","633","Give Me Some Of Yr Love","97"
"Lil Scrappy","Kate","F","25","Harrell","238.78485","paid","Lansing-East Lansing, MI","633","Like Me (Amended Version)","97"
"Escape The Fate","Kate","F","26","Harrell","266.73587","paid","Lansing-East Lansing, MI","633","This War Is Ours (The Guillotine II)","97"
"Travis","Layla","F","0","Griffin","238.15791","paid","Lake Havasu City-Kingman, AZ","407","Side","24"
"The xx","Ryan","M","2","Smith","188.55138","free","San Jose-Sunnyvale-Santa Clara, CA","663","Basic Space","26"
"HÃÂ©roes del Silencio","Kate","F","27","Harrell","245.02812","paid","Lansing-East Lansing, MI","633","Parasiempre","97"
"Crosby_ Stills & Nash","Layla","F","1","Griffin","444.05506","paid","Lake Havasu City-Kingman, AZ","407","Suite: Judy Blue Eyes [Remastered LP Version]","24"
"Bad Brains","Kate","F","28","Harrell","142.78485","paid","Lansing-East Lansing, MI","633","No Conditions","97"
"James Taylor","Matthew","M","27","Jones","214.22975","paid","Janesville-Beloit, WI","461","Secret O' Life","36"
"Train","Kate","F","29","Harrell","216.76363","paid","Lansing-East Lansing, MI","633","Hey_ Soul Sister","97"
"Florence + The Machine","Layla","F","2","Griffin","131.3171","paid","Lake Havasu City-Kingman, AZ","407","Kiss With A Fist","24"
"Veggie Tales (Veggie Tunes)","Matthew","M","28","Jones","131.23873","paid","Janesville-Beloit, WI","461","King Darius Suite (LP Version)","36"
"Alliance Ethnik","Kate","F","30","Harrell","195.94404","paid","Lansing-East Lansing, MI","633","SinceritÃÂ© Et Jalousie","97"
"Minnie Riperton","Layla","F","3","Griffin","164.25751","paid","Lake Havasu City-Kingman, AZ","407","Seeing You This Way","24"
"Weezer","Matthew","M","29","Jones","159.55546","paid","Janesville-Beloit, WI","461","Buddy Holly","36"
"Warrior King","Kate","F","31","Harrell","257.20118","paid","Lansing-East Lansing, MI","633","Baby Don't Worry","97"
"Colbie Caillat","Matthew","M","30","Jones","244.08771","paid","Janesville-Beloit, WI","461","Realize","36"
"Passion Pit","Layla","F","4","Griffin","174.75873","paid","Lake Havasu City-Kingman, AZ","407","Sleepyhead","24"
"Tilly & The Wall","Layla","F","6","Griffin","169.58649","paid","Lake Havasu City-Kingman, AZ","407","Pot Kettle Black","24"
"John Mayer","Kate","F","32","Harrell","241.6322","paid","Lansing-East Lansing, MI","633","Back To You","97"
